# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
   14.725050083    1.350523148    1.404047577    1.380184000
   14.775131886    1.348232092    1.401408146    1.377691944
   14.825213689    1.345963246    1.398794282    1.375224122
   14.875295492    1.343716325    1.396205658    1.372780221
   14.925377295    1.341491050    1.393641954    1.370359938
   14.975459098    1.339287146    1.391102851    1.367962969
   15.025540902    1.337104342    1.388588039    1.365589019
   15.075622705    1.334942371    1.386097210    1.363237796
   15.125704508    1.332800970    1.383630063    1.360909012
   15.175786311    1.330679881    1.381186301    1.358602385
   15.225868114    1.328578849    1.378765631    1.356317637
   15.275949917    1.326497625    1.376367765    1.354054494
   15.326031720    1.324435962    1.373992419    1.351812685
   15.376113523    1.322393616    1.371639314    1.349591946
   15.426195326    1.320370349    1.369308175    1.347392014
   15.476277129    1.318365926    1.366998731    1.345212633
   15.526358932    1.316380114    1.364710716    1.343053549
   15.576440735    1.314412685    1.362443868    1.340914512
   15.626522538    1.312463415    1.360197926    1.338795276
   15.676604341    1.310532083    1.357972638    1.336695600
   15.726686144    1.308618469    1.355767752    1.334615244
   15.776767947    1.306722360    1.353583021    1.332553975
   15.826849750    1.304843544    1.351418202    1.330511561
   15.876931553    1.302981813    1.349273055    1.328487773
   15.927013356    1.301136961    1.347147344    1.326482388
   15.977095159    1.299308787    1.345040837    1.324495185
   16.027176962    1.297497090    1.342953304    1.322525945
   16.077258765    1.295701676    1.340884519    1.320574454
   16.127340568    1.293922350    1.338834260    1.318640502
   16.177422371    1.292158922    1.336802309    1.316723879
   16.227504174    1.290411204    1.334788448    1.314824380
   16.277585977    1.288679012    1.332792465    1.312941804
   16.327667780    1.286962163    1.330814152    1.311075951
   16.377749583    1.285260477    1.328853299    1.309226625
   16.427831386    1.283573779    1.326909706    1.307393632
   16.477913189    1.281901892    1.324983170    1.305576782
   16.527994992    1.280244646    1.323073493    1.303775886
   16.578076795    1.278601870    1.321180482    1.301990760
   16.628158598    1.276973399    1.319303943    1.300221222
   16.678240401    1.275359067    1.317443687    1.298467091
   16.728322204    1.273758712    1.315599528    1.296728190
   16.778404007    1.272172174    1.313771281    1.295004344
   16.828485810    1.270599295    1.311958766    1.293295381
   16.878567613    1.269039921    1.310161802    1.291601131
   16.928649416    1.267493897    1.308380214    1.289921426
   16.978731219    1.265961073    1.306613829    1.288256102
   17.028813022    1.264441299    1.304862474    1.286604996
   17.078894825    1.262934429    1.303125980    1.284967948
   17.128976628    1.261440318    1.301404181    1.283344798
   17.179058431    1.259958823    1.299696912    1.281735391
   17.229140234    1.258489804    1.298004012    1.280139574
   17.279222037    1.257033121    1.296325320    1.278557194
   17.329303840    1.255588637    1.294660678    1.276988102
   17.379385643    1.254156218    1.293009933    1.275432150
   17.429467446    1.252735730    1.291372929    1.273889194
   17.479549249    1.251327041    1.289749516    1.272359088
   17.529631052    1.249930022    1.288139544    1.270841692
   17.579712855    1.248544546    1.286542867    1.269336867
   17.629794658    1.247170486    1.284959340    1.267844474
   17.679876461    1.245807718    1.283388818    1.266364377
   17.729958264    1.244456119    1.281831161    1.264896443
   17.780040067    1.243115567    1.280286230    1.263440540
   17.830121870    1.241785945    1.278753887    1.261996536
   17.880203673    1.240467133    1.277233997    1.260564304
   17.930285476    1.239159015    1.275726425    1.259143716
   17.980367279    1.237861478    1.274231039    1.257734648
   18.030449082    1.236574406    1.272747710    1.256336975
   18.080530885    1.235297690    1.271276309    1.254950575
   18.130612688    1.234031219    1.269816709    1.253575330
   18.180694491    1.232774884    1.268368784    1.252211119
