mu_eV,T_K,PF_W_per_mK2
-2.74722,300,0
-2.74722,400,0
-2.74722,500,0
-2.74722,600,0
-2.7343,300,0
-2.7343,400,0
-2.7343,500,0
-2.7343,600,0
-2.72137,300,0
-2.72137,400,0
-2.72137,500,0
-2.72137,600,0
-2.70846,300,0
-2.70846,400,0
-2.70846,500,0
-2.70846,600,0
-2.69553,300,0
-2.69553,400,0
-2.69553,500,0
-2.69553,600,0
-2.68261,300,0
-2.68261,400,0
-2.68261,500,0
-2.68261,600,0
-2.66968,300,0
-2.66968,400,0
-2.66968,500,0
-2.66968,600,0
-2.65677,300,0
-2.65677,400,0
-2.65677,500,0
-2.65677,600,0
-2.64385,300,0
-2.64385,400,0
-2.64385,500,0
-2.64385,600,0
-2.63092,300,0
-2.63092,400,0
-2.63092,500,0
-2.63092,600,0
-2.61801,300,0
-2.61801,400,0
-2.61801,500,0
-2.61801,600,0
-2.60508,300,0
-2.60508,400,0
-2.60508,500,0
-2.60508,600,0
-2.59216,300,0
-2.59216,400,0
-2.59216,500,0
-2.59216,600,0
-2.57923,300,0
-2.57923,400,0
-2.57923,500,0
-2.57923,600,0
-2.56632,300,0
-2.56632,400,0
-2.56632,500,0
-2.56632,600,0
-2.55339,300,0
-2.55339,400,0
-2.55339,500,0
-2.55339,600,0
-2.54047,300,0
-2.54047,400,0
-2.54047,500,0
-2.54047,600,0
-2.52756,300,0
-2.52756,400,0
-2.52756,500,0
-2.52756,600,0
-2.51463,300,0
-2.51463,400,0
-2.51463,500,0
-2.51463,600,0
-2.50171,300,0
-2.50171,400,0
-2.50171,500,0
-2.50171,600,0
-2.4888,300,0
-2.4888,400,0
-2.4888,500,0
-2.4888,600,0
-2.47587,300,0
-2.47587,400,0
-2.47587,500,0
-2.47587,600,0
-2.46294,300,0
-2.46294,400,0
-2.46294,500,0
-2.46294,600,0
-2.45002,300,0
-2.45002,400,0
-2.45002,500,0
-2.45002,600,0
-2.43711,300,0
-2.43711,400,0
-2.43711,500,0
-2.43711,600,0
-2.42418,300,0
-2.42418,400,0
-2.42418,500,0
-2.42418,600,0
